Name, Abstractness, Instability 
batch-insert, 0.2222222222222222, 0.8
bolt, 0.1778846153846154, 0.8181818181818182
buffers, 0.2857142857142857, 0.6666666666666666
capabilities, 0.2, 0.7777777777777778
codegen, 0.2328767123287671, 0.9333333333333333
collections, 0.2638888888888889, 0.4666666666666667
command-line, 0.4444444444444444, 0.375
common, 0.3551912568306011, 0.2222222222222222
community-it, 0.0920314253647587, 1
concurrent, 0.3333333333333333, 0.75
configuration, 0.109375, 0.5714285714285714
consistency-check, 0.18055555555555555, 0.9230769230769231
csv, 0.3142857142857143, 0.8571428571428571
cypher-shell, 0.14492753623188406, 1
cypher, 0.011406844106463879, 0.7307692307692307
data-collector, 0.10714285714285714, 0.8888888888888888
dbms, 0.12962962962962962, 0.8095238095238095
diagnostics, 0.75, 0.5
fabric, 0.15217391304347827, 0.8
fulltext-index, 0.02564102564102564, 0.6666666666666666
graph-algo, 0.32, 0.8571428571428571
graphdb-api, 0.4838709677419355, 0.46153846153846156
id-generator, 0.13333333333333333, 0.7272727272727273
import-tool, 0, 0.8888888888888888
import-util, 0.2978723404255319, 0.7692307692307693
index, 0.1506849315068493, 0.7857142857142857
io, 0.3958333333333333, 0.47368421052631576
kernel-api, 0.6076923076923076, 0.7692307692307693
kernel, 0.17086193745232647, 0.7
layout, 0.125, 0.3333333333333333
lock, 0.4666666666666667, 0.6
logging, 0.29545454545454547, 0.5
lucene-index, 0.1968503937007874, 0.8095238095238095
monitoring, 0.5, 0.8571428571428571
native, 0.2, 0.6666666666666666
exceptions, 0.02631578947368421, 0.6
harness, 0.20689655172413793, 0.9375
neo4j, 0.2465753424657534, 0.875
procedure-api, 0.15384615384615385, 0.25
procedure-compiler, 0.030612244897959183, 0.8888888888888888
procedure, 0.08771929824561403, 0.8461538461538461
push-to-cloud, 0.2222222222222222, 1
random-values, 0.11764705882352941, 0.2777777777777778
record-storage-engine, 0.18058690744920994, 0.8333333333333334
resource, 0.75, 0.25
schema, 0.375, 0.8888888888888888
security, 0.16, 0.8235294117647058
server-api, 0.5, 0.7142857142857143
server, 0.1059322033898305, 0.9375
spatial-index, 0.2, 0.6666666666666666
ssl, 0, 0.8181818181818182
storage-engine-api, 0.64, 0.7
storage-engine-util, 0.16129032258064516, 0.8
testing, 0.08673469387755102, 1
token-api, 0.3888888888888889, 0.75
unsafe, 0, 0.5
values, 0.2802547770700637, 0.4375
wal, 0.35294117647058826, 0.6666666666666666
